MetroArea	Binge	Asthma	HeartAt	Colonosc	Diabetes	PregDaib	PreDia	Disability	Exercise	Coverage	GeneralH	FluShot	Dentist	Teeth	BMI	PSA	Smokers	PAP
DesMoinesIA	4.8	8.7	2.7	65.5	6.8	0.7	0.9	18.0	77.7	91.5	90.4	71.8	77.5	32.4	35.1	50.6	15.8	85.4
DetroitMI	5.7	12.1	5.0	68.2	12.1	1.0	1.0	25.0	71.7	82.0	81.5	63.8	67.6	43.3	32.9	61.6	20.2	83.6
DoverDE	4.0	10.7	4.2	75.7	10.2	0.8	1.4	21.0	69.6	90.5	82.8	64.5	67.1	44.8	29.4	61.4	20.0	86.9
DurhamNC	4.5	9.9	2.3	67.6	7.3	0.7	1.0	15.9	78.0	86.1	86.9	73.4	69.9	36.4	41.1	54.7	12.2	88.9
EdisonNJ	3.9	9.1	3.7	68.3	9.5	0.7	1.5	17.8	74.0	90.7	86.4	70.3	77.7	45.8	38.5	60.1	10.9	86.9
ElPasoTX	4.3	5.8	3.5	51.5	12.2	0.8	0.7	16.1	71.5	62.5	77.2	64.8	55.9	49.5	30.2	48.3	14.4	77.6
EugeneOR	5.8	10.3	3.4	64.3	7.0	1.5	0.3	32.0	81.8	79.1	83.4	71.1	67.2	41.9	39.9	48.6	19.5	81.9
EvansvilleIN	4.8	10.0	6.6	67.8	9.8	0.4	1.5	25.2	72.3	89.8	81.9	73.2	70.6	48.5	37.0	55.0	17.9	83.7
FargoND	3.8	5.0	2.9	79.9	8.5	0.7	0.5	13.5	73.4	92.7	90.2	66.6	83.5	40.0	37.8	57.0	12.0	86.4
FarmingtonNM	3.8	11.7	7.1	57.5	7.8	0.4	0.8	22.9	77.1	74.5	84.7	66.2	64.7	45.3	35.0	48.2	20.4	78.9
FayettevilleAR	3.4	10.3	3.8	58.3	6.8	1.0	0.4	20.7	73.8	79.5	89.4	68.2	62.8	47.9	38.5	49.4	19.5	79.8
FtCollinsCO	5.7	8.4	2.4	70.3	4.7	0.3	0.8	18.2	86.9	87.7	92.0	73.6	73.6	29.1	50.2	56.5	17.2	81.9
FtWayneIN	2.6	10.0	4.7	60.6	11.4	0.7	1.2	20.2	76.6	87.5	85.2	59.0	74.5	48.5	30.9	49.4	18.2	80.6
FtWorthTX	3.3	10.2	3.3	67.4	11.7	1.9	0.3	20.7	76.0	80.3	85.6	72.9	63.8	44.6	30.3	52.3	14.6	83.1
GainesvilleFL	4.6	6.9	3.9	68.9	4.6	0.9	0.4	22.0	80.9	84.8	89.9	56.9	64.1	39.2	43.8	55.0	13.8	83.5
GrandIslandNE	5.5	6.2	5.2	60.0	9.0	1.7	0.6	17.9	73.8	85.8	83.9	72.3	65.6	41.4	31.2	54.6	15.2	75.2
GrandRapidsMI	5.5	8.2	3.0	77.2	9.9	0.5	1.5	20.6	80.7	89.8	86.3	71.8	72.7	38.5	34.8	57.4	19.2	83.6
GreensboroNC	3.4	7.9	4.3	71.6	10.6	0.9	1.4	21.0	76.6	86.4	82.6	70.2	70.2	48.7	32.7	58.0	20.2	77.1
GreenvilleSC	2.6	9.4	3.5	69.7	8.7	3.3	1.4	22.8	73.5	82.9	84.5	68.5	67.4	48.9	32.1	56.8	17.0	81.3
HagerstownMD	3.8	8.3	4.1	61.5	7.9	0.3	0.5	23.1	72.3	84.0	85.5	71.6	67.8	48.3	34.3	48.0	23.4	85.9
HartfordCT	3.6	9.0	3.0	76.9	7.9	0.7	0.9	16.5	80.5	90.0	88.3	74.2	81.9	38.0	38.0	58.2	13.1	84.9
HastingsNE	2.9	10.2	4.1	55.6	8.2	0.5	1.0	17.2	74.0	91.3	86.5	75.8	69.1	47.6	33.4	48.5	14.0	75.5
HelenaMT	5.2	9.3	5.3	65.4	5.7	0.8	0.5	24.8	81.6	89.3	87.6	65.7	72.2	41.8	39.3	61.3	17.3	84.7
HickoryNC	1.3	6.6	5.7	64.0	10.0	0.3	2.2	24.7	69.8	78.1	77.5	67.5	63.9	54.3	33.4	58.2	22.4	90.8
HiloHI	7.6	12.2	3.7	58.7	8.2	1.0	2.8	21.3	80.8	91.4	85.1	65.0	64.8	43.3	39.4	45.5	20.0	81.1
HiltonHeadSC	6.5	4.5	3.6	70.9	8.7	1.7	1.0	20.2	81.0	87.4	87.0	71.4	73.1	43.4	40.2	65.3	19.2	87.1
HomosassaFL	5.8	10.0	9.9	69.0	10.1	1.7	1.9	31.9	77.3	79.7	79.0	71.6	59.2	60.9	38.3	66.6	21.6	76.7
HonoluluHI	6.3	9.0	2.6	61.8	8.5	0.9	2.1	15.1	80.3	93.9	86.1	75.4	74.3	38.4	43.9	41.2	13.1	80.2
HoustonTX	6.1	4.9	3.8	62.7	8.5	1.0	0.7	17.9	76.4	75.9	83.5	64.2	64.5	41.7	36.9	52.5	16.2	77.1
HuntingtonWV	4.3	12.0	6.0	53.1	13.0	1.1	1.7	38.3	69.8	84.2	72.2	66.3	58.6	57.3	30.6	53.0	27.3	71.5
IdahoFallsID	1.6	7.7	2.6	61.6	8.4	0.9	3.1	16.9	80.6	83.7	87.1	61.0	75.1	37.0	35.9	51.4	11.9	76.8
IndianapolisIN	4.6	10.5	4.6	68.1	9.6	1.0	1.2	20.6	76.5	86.5	85.9	68.0	71.5	41.7	36.2	54.7	19.8	83.1
