MetroArea	Binge	Asthma	HeartAt	Colonosc	Diabetes	PregDaib	PreDia	Disability	Exercise	Coverage	GeneralH	FluShot	Dentist	Teeth	BMI	PSA	Smokers	PAP
NewYorkNY	4.0	9.9	3.6	68.8	8.7	0.7	1.2	16.0	75.4	85.6	84.1	61.5	72.6	48.9	40.5	58.1	13.7	81.3
NewarkNJ	3.8	7.5	3.4	65.6	9.6	0.7	1.0	16.2	73.9	85.9	86.4	65.9	78.6	46.7	38.2	54.9	14.1	82.8
NorfolkNE	5.2	4.3	3.5	58.7	6.6	0.1	1.0	17.4	71.7	90.1	86.7	69.9	65.1	45.4	29.0	57.7	15.9	80.2
NorthPlatteNE	5.6	12.9	5.8	64.9	9.3	1.6	0.6	20.9	71.2	90.3	84.8	65.7	66.5	44.1	33.2	53.7	17.2	72.3
NorthPortFL	8.3	6.1	6.9	70.1	9.3	1.4	1.3	21.1	78.4	81.9	87.7	68.7	70.3	52.0	41.9	66.4	18.3	82.1
OcalaFL	4.2	8.8	6.5	68.0	12.1	0.4	1.2	30.4	71.2	80.3	76.9	67.2	57.9	63.6	32.5	71.5	23.8	71.1
OceanCityNJ	8.0	6.5	5.4	66.9	11.8	2.7	1.7	18.3	75.1	88.2	85.9	67.0	77.9	48.6	37.0	55.8	20.6	82.5
OgdenUT	3.0	7.5	3.2	72.6	6.9	1.0	0.7	19.2	83.5	86.8	87.5	71.4	75.2	31.2	39.6	53.2	8.1	76.4
OkCityOK	3.8	8.9	4.8	63.1	8.7	0.6	1.7	26.2	71.5	79.9	81.8	67.8	61.6	44.1	35.1	52.6	22.7	80.4
OlympiaWA	5.3	11.4	2.9	72.2	7.4	1.3	0.7	31.3	84.8	85.7	89.3	69.1	72.4	38.1	41.5	43.5	18.6	82.2
OmahaNE	5.9	7.9	3.4	68.0	7.5	0.3	0.9	18.5	76.3	85.6	89.3	75.1	71.8	37.8	37.0	51.2	19.0	85.0
OrlandoFL	5.2	8.6	4.0	66.0	11.3	0.8	1.4	21.6	74.7	81.5	82.1	61.4	64.5	47.3	34.3	62.4	15.8	80.4
PalmBayFL	5.7	8.5	6.4	76.7	11.4	0.9	1.0	28.5	73.6	82.4	82.0	71.0	62.6	47.9	31.4	55.0	20.4	81.6
PanamaCityFL	7.5	7.6	5.3	75.3	8.9	0.4	0.4	24.7	76.1	84.1	85.2	69.6	68.8	50.0	34.1	55.0	15.9	76.3
